review_id,product_id,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R2LEW74W174US4,B0D6WB7BV6,Bose,5.0 out of 5 stars Nice Sound From a Small Package,Ray Paseur,5,This pairs with my iPhone (iTunes) via Bluetooth and I can play my music outdoors at the dog park! Read more,"Reviewed in the United States January 8, 2025",AE4SBWRG7736ZIIC7Z3KMQUA47ZQ,FALSE,0,{}
R3UKOLE0B7FVPD,B0D6WB7BV6,Bose,5.0 out of 5 stars Outstanding Sound Quality in a Compact Design!,Emily Mazza,5,"I recently purchased the Bose New SoundLink Flex Portable Bluetooth Speaker (2nd Gen), and it has exceeded my expectations in every way.Sound Quality: The sound is rich, crisp, and clear, with deep bass that doesn’t overpower the mids and highs. Whether I’m listening to music, podcasts, or even taking calls, the audio quality is top-notch.Portability: This speaker is perfect for outdoor adventures. It’s lightweight and compact, making it easy to carry on hikes or trips to the beach. Plus, the rugged design feels durable and reliable.Connectivity: The Bluetooth pairing process is seamless and fast. I was impressed by the range – I can leave my phone inside the house while the speaker plays in the backyard without any interruptions.Battery Life: The battery lasts as advertised, and even after hours of use, it still has plenty of juice left. The fast-charging feature is a bonus!Design: The sleek and modern design looks great wherever I place it. The waterproof and dustproof features make it worry-free for outdoor use, even in unpredictable weather.Overall, the Bose New SoundLink Flex is worth every penny. It’s a perfect blend of durability, portability, and exceptional sound quality. Highly recommended! Read more","Reviewed in the United States January 7, 2025",AH74CHBDKBG3QF6UQ6WXJBMJSVXQ,FALSE,1,{}
RMYELWR8C9ZV7,B0D6WB7BV6,Bose,2.0 out of 5 stars Sick of Bose,Michael Campbell,2,Bose has created yet another app! Doesn't work with my Revolve. Read more,"Reviewed in the United States January 6, 2025",AFZEMT57MRBFSD32YALFQ72763TA,FALSE,0,{}
R26AXHSN9YCKY4,B0D6WB7BV6,Bose,5.0 out of 5 stars Sound is excellent,bondakir,5,"Only had it a month but ao far I love it and use it every day. Since my house is long and skinny, noise doesn’t travel well so I’m trying portable options.Sound is wayyyy better than my similarly priced edifier speakers. Like way, way better. Connectivity is easy, you can turn off the “full power” voice so you don’t have to hear it every time, you can skip to next song on the device so you don’t need to find your phone, and battery is decent. Super cute too I love keeping it out. Most speakers look like trash so I appreciate the aesthetic. Read more","Reviewed in the United States January 6, 2025",AGLAXJRYINAKQOW2OELZTKPZTUYQ,FALSE,0,{}
R20TJ4JEMKOA9H,B0D6WB7BV6,Bose,5.0 out of 5 stars Life like sound,Charlie B.,5,"Bose simply has amazing, room filling sound. I have heard many speakers, they sound tinny and flat, not this one. Download the Bose app and tune the sound, little more base, little more mid range and touch more treble. Perfect. It has one of the longest running battery around, and it tells you when you turn it on the power it has left. Another incredible Bose product, this sounds like an expensive stereo system of old. Well worth it. Buy and enjoy the music! Read more","Reviewed in the United States January 6, 2025",AFRTTWRR6DZMUIIGBSXGY4F3ACCA,FALSE,0,{}
R1EGVN6KUDWNX5,B0D6WB7BV6,Bose,5.0 out of 5 stars favorite speaker,Cornelius,5,"Excellent sound quality. Small and light enough. I use it every day. I like it so much that I have bought a second one. Thanks, Bose. Read more","Reviewed in the United States January 5, 2025",AHE7A757PP3F7WD7WX5PL5CQMT5Q,FALSE,0,{}
RUM11LDSD003O,B0D6WB7BV6,Bose,5.0 out of 5 stars Blown away by the sound!!,L,5,"We bought one of these for ourselves and ended up loving it so much that we bought them for all of our kids for Christmas. Amazing sound quality, easy to use, nice battery life and perfect for taking to the beach, the hot tub or listening to music in your home! Read more","Reviewed in the United States January 5, 2025",AGOZ2TM652LVPSRV4CTW4NQHZL6A,FALSE,0,{}
R37E4FKOMHWSHX,B0D6WB7BV6,Bose,5.0 out of 5 stars Clean crisp sound,Michael christy,5,Little speaker produces a lot of sound Read more,"Reviewed in the United States January 5, 2025",AHN7B3B3NC4SW2LHI646LXHRP3WA,FALSE,0,{}
R20ZER9UNQYTOS,B0D6WB7BV6,Bose,5.0 out of 5 stars Bose is great,Towandas,5,A gift to my daughter and she loves it. Amazing sound for such a little guy. Read more,"Reviewed in the United States January 5, 2025",AFP25ODMPPPUZVL5FFQQQAVJQLHQ,FALSE,0,{}
RD3H9072A0836,B0D6WB7BV6,Bose,5.0 out of 5 stars What a great speaker,Tena  Kuehn,5,"We bought this for my son as a gift. We have the similar JBL, which is fine, but this one is great. Read more","Reviewed in the United States January 4, 2025",AFLMLJR4RFTAFHF4KA4AIXXZK5RA,FALSE,0,{}
R12QJH586P469S,B0D6WB7BV6,Bose,5.0 out of 5 stars Good value,Christopher Bassett,5,"Great size, very functional. Love the color. Great bass for a small speaker. Would recommend. Read more","Reviewed in the United States January 4, 2025",AHLGIUGFROKI34UMJSYUP4GEGCOA,FALSE,0,{}
R26I0HPIWSNUJN,B0D6WB7BV6,Bose,5.0 out of 5 stars Great Sound,S. McKenna,5,Great sound quality and volume from a small device! Read more,"Reviewed in the United States January 4, 2025",AFRF6HWTJYG4PD3FIM332TFISISA,FALSE,0,{}
R2J3JL238XCO26,B0D6WB7BV6,Bose,5.0 out of 5 stars Bose speaker,Amazon Customer,5,Great sound. Read more,"Reviewed in the United States January 4, 2025",AG3EDSWUS7DBOOIDEL6SXHKSPJBQ,FALSE,0,{}
R1BU81G08YSMEG,B0D6WB7BV6,Bose,3.0 out of 5 stars Aptx codec,Carlos,3,Great speakers. Amazing sound. But unfortunately my speaker didn’t work with Aptx codec as advertised. Read more,"Reviewed in the United States January 4, 2025",AFWCNLLUVWPY5PPGCLDSVMWAIW7Q,FALSE,0,{}
RYO24SEGL1I2R,B0D6WB7BV6,Bose,5.0 out of 5 stars Love this speaker!,Stacey H. Reed,5,This is a great versatile speaker. Our daughter uses it all over the house and it quickly connects to Bluetooth. We love that it charges quickly and is so portable. Read more,"Reviewed in the United States January 4, 2025",AFKUTWMCEN2MMUXG43EEGIPXL7OA,FALSE,0,{}
R33O6WY6Y5Q4XA,B0D6WB7BV6,Bose,5.0 out of 5 stars Hubby’s Christmas present,marcia rodriguez,5,He loves it Read more,"Reviewed in the United States January 3, 2025",AECALPOOFI4UMWPHRBRYLS3TVKHQ,FALSE,0,{}
R1OW59SYMUU0XB,B0D6WB7BV6,Bose,5.0 out of 5 stars Best Portable Speaker,Joe Murphey,5,"I’ve amassed a collection of portable speakers because I’d yet to find the perfect one, until now. Amazingly thumping bass and yet crystal clear in the mid and upper ranges. Read more","Reviewed in the United States January 2, 2025",AH2ALBTIIXCV2PIDYYPPRU4FJXJA,FALSE,0,{}
RC2BCW1YR9L6K,B0D6WB7BV6,Bose,5.0 out of 5 stars It’s a Bose,Beth,5,Works great. No complaints. Read more,"Reviewed in the United States January 2, 2025",AG4HYOE3HZCZIWSFCBDC2OLUWVJQ,FALSE,0,{}
R2M5EOXNF46DNR,B0D6WB7BV6,Bose,5.0 out of 5 stars bose soundlink,jlf56,5,a very powerful good sounding speaker! Read more,"Reviewed in the United States January 2, 2025",AEVQXXBR2MRDAINHQHKJLCY5J23Q,FALSE,0,{}
R27U2REN8SVIX6,B0D6WB7BV6,Bose,3.0 out of 5 stars Too much bass at low volumes,Sluhdave,3,Lots of bass. Not balanced with treble output. Battery lasts long though. Read more,"Reviewed in the United States January 2, 2025",AEI4JRVSFUQMWHUOBGRHXZXH2QOA,FALSE,1,{}
R1P1M6VAQT04KX,B0D6WB7BV6,Bose,5.0 out of 5 stars Excellent!,Dirk Morr,5,Excellent sound!! Read more,"Reviewed in the United States January 1, 2025",AEVXMI7BVK3ZF3LFNOIXDIKWYHWA,FALSE,0,{}
R2TB5Q0BZWUKCF,B0D6WB7BV6,Bose,5.0 out of 5 stars Juste the best,Anderson,5,Just the best and you get more than expected Read more,"Reviewed in the United States January 1, 2025",AFNUJVYET2LHGRBHHKS7UU5K42YQ,FALSE,0,{}
R2R1VLYIL5HQLZ,B0D6WB7BV6,Bose,1.0 out of 5 stars Speakers,Wendy A. Feller,1,My granddaughters love them. Read more,"Reviewed in the United States January 1, 2025",AF2FIU3ZRZPVUUHRVK3Z6E6GNYGA,FALSE,0,{}
R1RAITKV92DS6P,B0D6WB7BV6,Bose,5.0 out of 5 stars Amazing Sound,JJFlash,5,Best sounding portable speaker I've ever encountered. Good but not overpowering bass. Battery life is outstanding. Read more,"Reviewed in the United States December 31, 2024",AFBNL2CVEQP5MOLEPMJPNJ2QJ34A,FALSE,0,{}
R1SWXVNSG643RH,B0D6WB7BV6,Bose,5.0 out of 5 stars Fantastic,Woodworker,5,Always connects instantly (unlike the garbage Sonos that I threw away) GREAT tone! Read more,"Reviewed in the United States December 31, 2024",AEHTRGH3PMIICNY3XTFTUYTMI2BQ,FALSE,0,{}
RDO4HTRS8EK68,B0D6WB7BV6,Bose,5.0 out of 5 stars Awesome,H,5,This is awesome Read more,"Reviewed in the United States December 31, 2024",AF3CEVO42N6CGMYMFIH73GPUQTCA,FALSE,0,{}
RYE7GXD5GIY3P,B0D6WB7BV6,Bose,5.0 out of 5 stars BOOM,Scott Batson,5,I love this speaker. My first Bose and its amazing Read more,"Reviewed in the United States December 31, 2024",AEQC3GJISOVHDWZFDVAQ7UZCBO4Q,FALSE,0,{}
R24NQF6LZMHTXF,B0D6WB7BV6,Bose,3.0 out of 5 stars Not as good as the original,Amazon Customer,3,This is a downgrade from the original SoundLink. It just does not sound as good and crisp as the OG speaker that was square and fully encased in rubber. That thing was nearly indestructible and sounded perfect. I'm disappointed with the differences. Read more,"Reviewed in the United States December 31, 2024",AFNNGEN2WDFL3YGXZHFZ7GSLRSZQ,FALSE,0,{}
RT7QECZG07AYD,B0D6WB7BV6,Bose,1.0 out of 5 stars I am finished with Bose. Disappointing junk.,TamedSummit,1,"I would give zero stars if I could. When my son got a $20 Bluetooth speaker for Christmas, it sounded better, louder and was built sturdier than this SoundLink speaker. Do not buy this speaker if you are expecting good quality or awesome sound you have grown to expect from Bose. They have absolutely gone downhill. I have returned several “new” products that I bought from Bose and they are nothing like the quality that they used to be. Unless they get a different design team and stop cutting corners in all aspects, I am afraid Bose will be synonymous with expensive garbage. I am finished with trusting them and will be trying other brands that have all stepped their game up. Don’t do it!! This product sucks!! Read more","Reviewed in the United States December 31, 2024",AFENAO2ZP54GFYLU5BKOKJP5GLEQ,FALSE,1,{}
RLAFE95SPG13E,B0D6WB7BV6,Bose,5.0 out of 5 stars Sounds Amazing!,Michael Sylvia,5,I've always like Bose but I wasn't ready for this baby. It sounds GREAT! NO DISTORTION! NONE! Worth the purchase! Read more,"Reviewed in the United States December 31, 2024",AFO2NOUDCCVNY222TA6GVXWCJCZA,FALSE,0,{}
R1OCSO52RHSIU3,B0D6WB7BV6,Bose,5.0 out of 5 stars Works great,cathy gafford,5,Okay but not as good as the Bose sound link Read more,"Reviewed in the United States December 30, 2024",AHXKYTKNMOI7B7GHB553SJSJ6OMQ,FALSE,0,{}
R1ZSYLT569WZIK,B0D6WB7BV6,Bose,5.0 out of 5 stars Best speaker,Sarahlor,5,"I have the Bose quietcomfort ultra headphones, and this speaker sounds like the headphones. The headphones were around $450, so this speaker is a really good deal for the quality you’re getting. The battery seems to last a long time, it charges quickly, and the buttons are easy to learn. Overall I highly recommend. Read more","Reviewed in the United States December 30, 2024",AHELGFLYMVL6AT6HT5NCMT4GORZA,FALSE,0,{}
R54H5KT0ADQCD,B0D6WB7BV6,Bose,5.0 out of 5 stars Great sound,J. Bell,5,Great siz and sound. Easy to connect to Bluetooth. Read more,"Reviewed in the United States December 30, 2024",AE7ROOVF4WXWMZBZW3335B7JASOA,FALSE,0,{}
R3FZK9IZEZLJC3,B0D6WB7BV6,Bose,5.0 out of 5 stars Love it!,Joyce J. Melvin,5,"Big sound, long battery life. Worth the expense. Read more","Reviewed in the United States December 30, 2024",AEPO4U2ADEWFLUFK6IPDWH6KROZA,FALSE,0,{}
R2L5CJ8QU7WK7G,B0D6WB7BV6,Bose,5.0 out of 5 stars Super,David Rudolph,5,This is top quality better grab a few..truly appreciate the quality you have done.. Read more,"Reviewed in the United States December 30, 2024",AFWQ5RRKCCFUSNWPTQZHPUAX7HWA,FALSE,0,{}
R3TVMAVU78G4L6,B0D6WB7BV6,Bose,3.0 out of 5 stars Sound is great; battery life is poor.,T. Simmons,3,Really disappointed that the device barely holds a charge for two hours. Read more,"Reviewed in the United States December 30, 2024",AEOF3QSV5PRKDYEJJMFQRHX6TSMA,FALSE,0,{}
RWL5TAHMZ686A,B0D6WB7BV6,Bose,5.0 out of 5 stars Gs,aniley,5,Great sound 👌 Read more,"Reviewed in the United States December 29, 2024",AFF2EKKOE4WGARJ5FVQSAU52WNIA,FALSE,0,{}
R1MFBU6T04ZYYQ,B0D6WB7BV6,Bose,5.0 out of 5 stars Excelente producto,Walther Garrido,5,"Un equipo de sonido 10/10, excelente sonido y batería duradera, mil veces mejor que la competencia Read more","Reviewed in the United States December 29, 2024",AESDVHU5ZQKZZ4ZUGCBZFGOP7WTA,FALSE,0,{}
R33070XHUILPET,B0D6WB7BV6,Bose,5.0 out of 5 stars Excellent product,Krista,5,"This speaker is sleek and fits well in my palm. The sound is crisp, clear and clean. It is loud but it is also gentle on the ears. Bose did compromise sound quality on this product. The price was decent. I wish to get another one to pair up. I can’t afford two right now, but I heard they sound amazing together. You won’t regret your purchase. Read more","Reviewed in the United States December 28, 2024",AF4JIMPP6RJYXX5ABRDN6SIZWHOQ,FALSE,1,{}
R1SAGJ1A7UDLQ,B0D6WB7BV6,Bose,5.0 out of 5 stars These Work REALLY Well,John H. Long,5,What a great sound in a convenient size. Love this speaker and how easy it is to use and transport. You can't beat BOSE sound or quality! Read more,"Reviewed in the United States December 28, 2024",AGV54V7EA5Y5RWGZL5LK3T24P7KA,FALSE,0,{}
RWZ9YLC4X4L9P,B0D6WB7BV6,Bose,5.0 out of 5 stars Love it,A.Lee,5,Love this little portable speaker. Music sounds great on it. Bought a second one for my niece. Impressive speaker. Read more,"Reviewed in the United States December 28, 2024",AFEHUDKRT7BVAMEQGUWMFWY6OYCQ,FALSE,0,{}
R214F6XM9SVCKF,B0D6WB7BV6,Bose,5.0 out of 5 stars Gotta hear it,Kindle Customer,5,Great sound easy set up extra long battery life and portable. Read more,"Reviewed in the United States December 28, 2024",AFNW3MY6P6JH4NPAZZQUJPLJ3B4Q,FALSE,0,{}
R2PPR633XJKJOL,B0D6WB7BV6,Bose,5.0 out of 5 stars My husband says this SLAPS,Amazon Customer,5,Got this as a gift for my husband and he loves it! Sound is amazing and is a portable size! Read more,"Reviewed in the United States December 28, 2024",AFGHGC5VHHO75MB4IU6CE63EGGQQ,FALSE,0,{}
R339F4LFVST3X5,B0D6WB7BV6,Bose,4.0 out of 5 stars My DH loves it!,Lori Herring,4,"Bought this for my hubby's Christmas present. Good quality sound is important to him. He loves this speaker! I took one star away bc it didn't have a charger cord with it. If that hadn't been an issue, it would be a 5 star rating Read more","Reviewed in the United States December 27, 2024",AEZ3E62GWOMLFLUUSQJ4P2JTAALA,FALSE,0,{}
